occupations,total employment (in thousands),percentage,kinds of detailed occupations
Management  ,"9,533.10",0.0611,34
Business and financial operations  ,"8,066.80",0.0517,32
Computer and mathematical  ,"4,419.00",0.0283,19
Architecture and engineering  ,"2,601.00",0.0167,35
Life physical and social science  ,"1,299.50",0.0083,43
Community and social service  ,"2,570.70",0.0165,18
Legal  ,"1,283.30",0.0082,9
Education training and library  ,"9,426.50",0.0604,64
Arts design entertainment sports and media  ,"2,772.90",0.0178,41
Healthcare practitioners and technical  ,"8,751.50",0.0561,61
Healthcare support  ,"4,315.60",0.0277,17
Protective service  ,"3,505.60",0.0225,22
Food preparation and serving related  ,"13,206.10",0.0846,18
Building and grounds cleaning and maintenance  ,"5,654.10",0.0362,10
Personal care and service  ,"6,419.70",0.0411,33
Sales and related  ,"15,747.80",0.1009,22
Office and administrative support  ,"23,081.20",0.1479,56
Farming fishing and forestry  ,"1,060.10",0.0068,14
Construction and extraction  ,"6,812.50",0.0437,60
Installation maintenance and repair  ,"5,905.40",0.0378,52
Production  ,"9,356.90",0.06,108
Transportation and material moving  ,"10,274.20",0.0658,53